"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4590","DJCSS-T141: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - Constellium","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","31432","DJCSS-T106: Verify FAQ URL after submitting Help Request Form","Regression Test Suite","2026-09-22","broken","2026-09-22","FAQ Forms","faq\faq-forms.spec.ts","",""
"","19579","DJCSS-T131: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - Otsuka","Regression Test Suite","2026-09-22","failed","2026-09-22","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","2754","DJCSS-T149: Verify the form successfully accepts exactly 3 uploaded files - TRS","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > TRS","mct-form\mct-form-submission.spec.ts","",""
"","11699","DJCSS-T171: Verify form submission for RC DJCSS API Documentation - R&C Legacy Risk & Compliance API","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","10899","DJCSS-T167: Verify Advanced Search product filter navigates to filtered results","Smoke Test Suite","2026-09-22","passed","2026-09-22","Home","home\home.spec.ts","",""
"","8682","DJCSS-T176: Verify form submission for RC DJCSS Third Party","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","19143","DJCSS-T127: Verify unrestricted file upload is rejected on the Support Resource Request form","Regression Test Suite","2026-09-22","passed","2026-09-22","Help Request Form","help-request-form\help-request-form.spec.ts","",""
"","15718","DJCSS-T168: Portuguese option appears in Preferred Language dropdown","Regression Test Suite","2026-09-22","passed","2026-09-22","Live Chat","live-chat\live-chat.spec.ts","",""
"","17414","DJCSS-T125: Verify unrestricted file upload is rejected on the R&C profile update tab","Regression Test Suite","2026-09-22","passed","2026-09-22","Risk & Compliance Product Update","risk-compliance-product-update\risk-compliance-product-update.spec.ts","",""
"","21981","DJCSS-T174: Verify form submission for RC DJCSS Oxford Analytica","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","33828","Verify the Administration page is up","Smoke Test Suite","2026-09-22","broken","2026-09-22","Administration Page - availability","djcss-admin-page\djcss-admin-page.spec.ts","",""
"","17996","DJCSS-T56: Verify Source Name field enforces a 160 character limit","Smoke Test Suite","2026-09-22","passed","2026-09-22","Factiva Source Request Form","factiva-source-request-form\factiva-source-request-form.spec.ts","",""
"","19163","DJCSS-T162: User can successfully change their Phone Country within the chat interface","Regression Test Suite","2026-09-22","passed","2026-09-22","Live Chat","live-chat\live-chat.spec.ts","",""
"","48312","DJCSS-T90: Verify updated logo on Factiva Product Update email template","Regression Test Suite","2026-09-22","passed","2026-09-22","Recycle","recycle\recycle.spec.ts","",""
"","18101","DJCSS-T138: Verify submission with only the mandatory fields filled, leaving all optional fields blank - Arconic","Regression Test Suite","2026-09-22","failed","2026-09-22","MCT Form Submission > Arconic","mct-form\mct-form-submission.spec.ts","",""
"","4833","DJCSS-T133: Verify submission with only the mandatory fields filled, leaving all optional fields blank - Otsuka","Regression Test Suite","2026-09-22","passed","2026-09-22","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","54950","DJCSS-T94: Verify updated logo on Factiva Content Update email template","Regression Test Suite","2026-09-22","passed","2026-09-22","Recycle","recycle\recycle.spec.ts","",""
"","8760","DJCSS-T172: Verify form submission for RC DJCSS API Documentation - Risk & Compliance Ad Hoc Search API 2.0","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","11363","DJCSS-T96: Verify updated Footer Logo on DJCSS","Regression Test Suite","2026-09-22","passed","2026-09-22","Logo Updates","logo-updates\logo-updates.spec.ts","",""
"","19003","DJCSS-T135: Verify Unrestricted Upload of File for MyCompanyTodayForm - Otsuka","Regression Test Suite","2026-09-22","failed","2026-09-22","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","22220","DJCSS-T119: Verify submission with only the mandatory fields filled, leaving all optional fields blank - Prosegur","Regression Test Suite","2026-09-22","failed","2026-09-22","MCT Form Submission > Prosegur","mct-form\mct-form-submission.spec.ts","",""
"","9011","DJCSS-T173: Verify form submission for RC DJCSS API Documentation - R&C Screening & Monitoring API","Regression Test Suite","2026-09-22","passed","2026-09-22","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
