"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19912","DJCSS-T162: User can successfully change their Phone Country within the chat interface","Regression Test Suite","2026-09-21","passed","2026-09-21","Live Chat","live-chat\live-chat.spec.ts","",""
"","21070","DJCSS-T177: Verify form submission for RC DJCSS RiskJournal","Regression Test Suite","2026-09-21","passed","2026-09-21","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","19102","DJCSS-T98: Verify updated Favicon Logo","Regression Test Suite","2026-09-21","passed","2026-09-21","Logo Updates","logo-updates\logo-updates.spec.ts","",""
"","29875","DJCSS-T93: Verify IMS Product Update article publishes successfully in Alfresco","Regression Test Suite","2026-09-21","passed","2026-09-21","Recycle","recycle\recycle.spec.ts","",""
"","6038","DJCSS-T146: Verify that the form submits successfully when all fields (Mandatory + Optional) are populated correctly - TRS","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > TRS","mct-form\mct-form-submission.spec.ts","",""
"","7389","DJCSS-T140: Verify Unrestricted Upload of File for MyCompanyTodayForm - Arconic","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > Arconic","mct-form\mct-form-submission.spec.ts","",""
"","4766","DJCSS-T139: Verify the form successfully accepts exactly 3 uploaded files - Arconic","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > Arconic","mct-form\mct-form-submission.spec.ts","",""
"","6194","Verify a Publication Date beyond the field max is currently accepted on submission","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > Form Validation Edge Cases","mct-form\mct-form-submission.spec.ts","",""
"","14483","DJCSS-T167: Verify Advanced Search product filter navigates to filtered results","Smoke Test Suite","2026-09-21","passed","2026-09-21","Home","home\home.spec.ts","",""
"","4673","DJCSS-T145: Verify Unrestricted Upload of File for MyCompanyTodayForm - Constellium","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","25267","Verify search results pagination navigates to the next page of articles","Regression Test Suite","2026-09-21","passed","2026-09-21","FAQ Forms","faq\faq-forms.spec.ts","",""
"","4510","DJCSS-T132: Verify that the form prevents submission if mandatory fields are empty - Otsuka","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > Otsuka","mct-form\mct-form-submission.spec.ts","",""
"","23827","DJCSS-T179: Verify form submission for RC DJCSS Trade Compliance","Regression Test Suite","2026-09-21","passed","2026-09-21","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","15791","DJCSS-T85: Verify updated Top Left Site Logo on DJCSS","Regression Test Suite","2026-09-21","passed","2026-09-21","Recycle","recycle\recycle.spec.ts","",""
"","5418","DJCSS-T143: Verify submission with only the mandatory fields filled, leaving all optional fields blank - Constellium","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > Constellium","mct-form\mct-form-submission.spec.ts","",""
"","29348","DJCSS-T92: Verify Newswire Product Update article publishes successfully in Alfresco","Regression Test Suite","2026-09-21","passed","2026-09-21","Recycle","recycle\recycle.spec.ts","",""
"","6010","DJCSS-T111: Verify New MCT Article Submission Form - Analog","Regression Test Suite","2026-09-21","passed","2026-09-21","MCT Form Submission > Analog","mct-form\mct-form-submission.spec.ts","",""
"","14460","DJCSS-T95: Verify updated Top Left Site Logo on DJCSS","Smoke Test Suite","2026-09-21","passed","2026-09-21","Logo Updates","logo-updates\logo-updates.spec.ts","",""
"","8598","DJCSS-T173: Verify form submission for RC DJCSS API Documentation - R&C Screening & Monitoring API","Regression Test Suite","2026-09-21","passed","2026-09-21","RC Feedback Forms","rc-feedback-forms\rc-feedback-forms.spec.ts","",""
"","7673","DJCSS-T153: Verify addition of new products to the Product Alert list","Regression Test Suite","2026-09-21","passed","2026-09-21","Product Alerts","product-alerts\product-alerts.spec.ts","",""
